Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-05-26,252.862384328,249.6576557456,258.0959147549,248.0271095204
ETH,2019-05-27,264.7384592652,252.8823699745,270.6938733724,246.2654321329
ETH,2019-05-28,269.1706595951,264.7383690368,280.1591994009,264.4292805839
ETH,2019-05-29,272.3649992891,271.3580516923,276.6166321829,265.4736742425
ETH,2019-05-30,270.4586310117,272.3645995326,274.3331889322,260.7551674862
ETH,2019-05-31,253.2695206328,269.4681278252,288.8288032669,174.8634316574
ETH,2019-06-01,262.6178288677,253.2541136244,264.0152553841,208.6338413696
ETH,2019-06-02,268.0068681369,262.6332284343,275.0262938829,261.3622701767
ETH,2019-06-03,269.2745679847,268.0440842728,273.8313452144,210.3151090555
ETH,2019-06-04,257.9038145283,269.3504439897,270.903206546,211.3894775572
ETH,2019-06-05,239.0754424541,249.6732556296,250.8096299108,233.7830046692
ETH,2019-06-06,246.3609227896,239.0304544976,249.2491079894,205.4552915607
ETH,2019-06-07,243.5358114445,246.1550865716,249.6906583267,198.8965083179
ETH,2019-06-08,250.9237807026,243.5257541354,254.2408274011,171.8649292171
ETH,2019-06-09,245.1594274535,250.9237245858,251.9029195749,188.9174314255
ETH,2019-06-10,229.507045803,244.337662976,245.1938418528,184.8904299066
ETH,2019-06-11,243.6975775364,229.5109983415,246.5467555851,227.5986832071
ETH,2019-06-12,245.6023534252,247.6230871862,248.8662286248,170.4118677264
ETH,2019-06-13,257.0824435563,245.5892971941,260.1928110673,187.7823567468
ETH,2019-06-14,255.8128945716,262.4475639364,263.972121018,194.6956137005
ETH,2019-06-15,263.9902061782,255.796484994,264.6293398797,177.9932101538
ETH,2019-06-16,268.8329563868,263.8241691416,273.3375335438,190.6861686292
ETH,2019-06-17,270.7520786339,268.838734965,278.8355813711,207.9707536504
ETH,2019-06-18,273.8801723339,270.7634289315,274.9991089154,267.553952372
ETH,2019-06-19,263.1083721665,273.9480765191,274.3078433466,261.3101545167
ETH,2019-06-20,268.636551063,263.0697805693,269.9607026999,185.516383216
ETH,2019-06-21,271.8312144504,268.686640386,274.2616507445,176.3933054764
ETH,2019-06-22,291.9443651163,271.841026782,295.189669206,247.9209067617
ETH,2019-06-23,302.0057950053,295.9257522991,315.1010619879,293.0506112326
ETH,2019-06-24,308.2046756187,301.9969434143,319.0247986214,301.9419032672
ETH,2019-06-25,308.6652725973,308.2244554592,313.5061674458,222.1409539561
ETH,2019-06-26,316.2122784377,308.8059673343,316.4377843826,305.5939741099
ETH,2019-06-27,324.1308552907,316.2487083708,363.0531638804,314.1520308878
ETH,2019-06-28,296.1115558742,324.1522871853,342.9652397066,274.579391598
ETH,2019-06-29,309.4092892509,296.0943987475,312.1489666428,289.6351824544
ETH,2019-06-30,314.0469441041,310.3283211293,314.3642121439,291.6777349637
ETH,2019-07-01,293.5303668714,314.0430714057,323.437760416,288.3884114973
ETH,2019-07-02,289.4528415487,293.5804697689,301.5106444968,279.0722498113
ETH,2019-07-03,291.447247814,289.4603018591,296.4545035825,271.7342248146
ETH,2019-07-04,301.4034854223,290.8884028843,301.921787863,289.2267636008
ETH,2019-07-05,293.1470522813,301.3994332354,303.5310501347,291.8720501404
ETH,2019-07-06,288.0914835903,282.674053065,294.7659627348,280.1610757227
ETH,2019-07-07,287.2026911401,288.0669655371,298.0285586179,285.4018285743
ETH,2019-07-08,305.7988738872,287.1971906624,310.9137476163,284.6029071816
ETH,2019-07-09,313.7779112419,305.8018717991,314.0525399412,302.1802773712
ETH,2019-07-10,307.7689028778,313.7816513504,318.0989307004,303.436711322
ETH,2019-07-11,289.1743326633,308.34462943,314.500138178,281.7234312221
ETH,2019-07-12,267.7342737532,289.180162335,289.5746750809,262.2146590974
ETH,2019-07-13,274.6791841991,267.7391334504,278.9355042484,266.0516816545
ETH,2019-07-14,267.2689248091,275.5647265722,275.8469260672,262.260216308
ETH,2019-07-15,236.8879113999,269.5569638784,270.0059582938,230.1213864345
ETH,2019-07-16,233.0681670622,236.8410261085,236.852317087,203.8575386018
ETH,2019-07-17,200.2220044059,233.0758189736,234.7755554444,190.9829445495
ETH,2019-07-18,212.2264798064,200.2471555893,219.7023791642,192.4903855176
ETH,2019-07-19,224.2387596856,211.0360477935,226.8850923463,206.3666627537
ETH,2019-07-20,219.6537523526,224.2296352677,230.0290444241,213.7376458646
ETH,2019-07-21,233.1300974731,221.0188231329,235.7427034061,220.4459498574
ETH,2019-07-22,225.087773767,233.1174587709,234.7287711585,217.4643023669
ETH,2019-07-23,215.939034883,225.0844931317,228.5309067492,211.9388611457
ETH,2019-07-24,215.5549594853,215.9336514122,218.9315696038,208.5010151329
ETH,2019-07-25,215.0665579651,212.432693047,218.0273930012,201.3905447493
ETH,2019-07-26,219.6820637044,215.0805309662,225.5042289111,214.8451667165
ETH,2019-07-27,217.9143663032,219.6669342215,220.4622073551,212.8870365048
ETH,2019-07-28,206.3915854447,217.9173500876,223.8310754298,203.0215743387
ETH,2019-07-29,207.3703542487,207.3419250953,211.3757093194,198.1438393257
ETH,2019-07-30,211.6551176583,211.384044004,215.0349629443,206.4738275903
ETH,2019-07-31,210.0807133958,211.6403353471,213.9247064708,204.8359459109
ETH,2019-08-01,216.0859269916,210.0865877645,218.0994618463,209.4857310674
ETH,2019-08-02,217.3123969246,216.0811054653,219.295242131,210.7865769552
ETH,2019-08-03,217.5168015503,217.3149634413,222.626643449,214.9062997638
ETH,2019-08-04,222.1538140516,217.5083335322,224.345801222,216.8259947829
